repository_index,case_type,ground_truth_valid,algorithm,predicted_acceptance,correct,failed_role_aware_checks
0,valid,True,strict_equality,False,False,
0,valid,True,committed_subset,True,True,
0,valid,True,role_aware,True,True,[]
0,undeclared_extra,False,strict_equality,False,True,
0,undeclared_extra,False,committed_subset,True,False,
0,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
0,omitted,False,strict_equality,False,True,
0,omitted,False,committed_subset,False,True,
0,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
1,valid,True,strict_equality,False,False,
1,valid,True,committed_subset,True,True,
1,valid,True,role_aware,True,True,[]
1,undeclared_extra,False,strict_equality,False,True,
1,undeclared_extra,False,committed_subset,True,False,
1,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
1,omitted,False,strict_equality,False,True,
1,omitted,False,committed_subset,False,True,
1,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
2,valid,True,strict_equality,False,False,
2,valid,True,committed_subset,True,True,
2,valid,True,role_aware,True,True,[]
2,undeclared_extra,False,strict_equality,False,True,
2,undeclared_extra,False,committed_subset,True,False,
2,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
2,omitted,False,strict_equality,False,True,
2,omitted,False,committed_subset,False,True,
2,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
3,valid,True,strict_equality,False,False,
3,valid,True,committed_subset,True,True,
3,valid,True,role_aware,True,True,[]
3,undeclared_extra,False,strict_equality,False,True,
3,undeclared_extra,False,committed_subset,True,False,
3,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
3,omitted,False,strict_equality,False,True,
3,omitted,False,committed_subset,False,True,
3,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
4,valid,True,strict_equality,False,False,
4,valid,True,committed_subset,True,True,
4,valid,True,role_aware,True,True,[]
4,undeclared_extra,False,strict_equality,False,True,
4,undeclared_extra,False,committed_subset,True,False,
4,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
4,omitted,False,strict_equality,False,True,
4,omitted,False,committed_subset,False,True,
4,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
5,valid,True,strict_equality,False,False,
5,valid,True,committed_subset,True,True,
5,valid,True,role_aware,True,True,[]
5,undeclared_extra,False,strict_equality,False,True,
5,undeclared_extra,False,committed_subset,True,False,
5,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
5,omitted,False,strict_equality,False,True,
5,omitted,False,committed_subset,False,True,
5,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
6,valid,True,strict_equality,False,False,
6,valid,True,committed_subset,True,True,
6,valid,True,role_aware,True,True,[]
6,undeclared_extra,False,strict_equality,False,True,
6,undeclared_extra,False,committed_subset,True,False,
6,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
6,omitted,False,strict_equality,False,True,
6,omitted,False,committed_subset,False,True,
6,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
7,valid,True,strict_equality,False,False,
7,valid,True,committed_subset,True,True,
7,valid,True,role_aware,True,True,[]
7,undeclared_extra,False,strict_equality,False,True,
7,undeclared_extra,False,committed_subset,True,False,
7,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
7,omitted,False,strict_equality,False,True,
7,omitted,False,committed_subset,False,True,
7,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
8,valid,True,strict_equality,False,False,
8,valid,True,committed_subset,True,True,
8,valid,True,role_aware,True,True,[]
8,undeclared_extra,False,strict_equality,False,True,
8,undeclared_extra,False,committed_subset,True,False,
8,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
8,omitted,False,strict_equality,False,True,
8,omitted,False,committed_subset,False,True,
8,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
9,valid,True,strict_equality,False,False,
9,valid,True,committed_subset,True,True,
9,valid,True,role_aware,True,True,[]
9,undeclared_extra,False,strict_equality,False,True,
9,undeclared_extra,False,committed_subset,True,False,
9,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
9,omitted,False,strict_equality,False,True,
9,omitted,False,committed_subset,False,True,
9,omitted,False,role_aware,False,True,"[""committed_files_match"",""payload_equals_committed_union_generated""]"
10,valid,True,strict_equality,False,False,
10,valid,True,committed_subset,True,True,
10,valid,True,role_aware,True,True,[]
10,undeclared_extra,False,strict_equality,False,True,
10,undeclared_extra,False,committed_subset,True,False,
10,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
10,reclassified,False,strict_equality,False,True,
10,reclassified,False,committed_subset,True,False,
10,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
11,valid,True,strict_equality,False,False,
11,valid,True,committed_subset,True,True,
11,valid,True,role_aware,True,True,[]
11,undeclared_extra,False,strict_equality,False,True,
11,undeclared_extra,False,committed_subset,True,False,
11,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
11,reclassified,False,strict_equality,False,True,
11,reclassified,False,committed_subset,True,False,
11,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
12,valid,True,strict_equality,False,False,
12,valid,True,committed_subset,True,True,
12,valid,True,role_aware,True,True,[]
12,undeclared_extra,False,strict_equality,False,True,
12,undeclared_extra,False,committed_subset,True,False,
12,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
12,reclassified,False,strict_equality,False,True,
12,reclassified,False,committed_subset,True,False,
12,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
13,valid,True,strict_equality,False,False,
13,valid,True,committed_subset,True,True,
13,valid,True,role_aware,True,True,[]
13,undeclared_extra,False,strict_equality,False,True,
13,undeclared_extra,False,committed_subset,True,False,
13,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
13,reclassified,False,strict_equality,False,True,
13,reclassified,False,committed_subset,True,False,
13,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
14,valid,True,strict_equality,False,False,
14,valid,True,committed_subset,True,True,
14,valid,True,role_aware,True,True,[]
14,undeclared_extra,False,strict_equality,False,True,
14,undeclared_extra,False,committed_subset,True,False,
14,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
14,reclassified,False,strict_equality,False,True,
14,reclassified,False,committed_subset,True,False,
14,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
15,valid,True,strict_equality,False,False,
15,valid,True,committed_subset,True,True,
15,valid,True,role_aware,True,True,[]
15,undeclared_extra,False,strict_equality,False,True,
15,undeclared_extra,False,committed_subset,True,False,
15,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
15,reclassified,False,strict_equality,False,True,
15,reclassified,False,committed_subset,True,False,
15,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
16,valid,True,strict_equality,False,False,
16,valid,True,committed_subset,True,True,
